id,monto,lugar,fecha
1,743,Lilla Edet,2/28/2023
2,7041,Portarlington,11/4/2022
3,8878,Tanjungagung,9/6/2022
4,9026,Sindang,6/8/2023
5,7271,Neochóri,9/9/2022
6,2868,Pop,10/2/2022
7,4670,Umeå,9/11/2022
8,5047,Petropavlovskaya,11/8/2022
9,4762,Philadelphia,11/7/2022
10,5396,Ilek,10/7/2022
11,7071,Brodarica,5/10/2023
12,9098,Rumbek,2/4/2023
13,5530,La Paloma,11/18/2022
14,3273,Ōdachō-ōda,6/3/2023
15,5737,Tegalsari,10/20/2022
16,6583,Yatsushiro,10/20/2022
17,1578,Goulmima,6/13/2022
18,2311,Larangan,7/11/2022
19,9618,Energodar,8/23/2022
20,2481,Ourtzagh,1/30/2023
21,2025,Magnitogorsk,4/15/2023
22,1878,Föglö,5/31/2023
23,9485,Nakhon Phanom,2/6/2023
24,3613,Ribeirão Pires,9/13/2022
25,921,Watulimo,4/10/2023
26,5755,Limbaži,12/22/2022
27,1106,Boé,8/10/2022
28,4286,Saint Paul,9/15/2022
29,6564,Ballivor,5/8/2023
30,4703,Donskoy,6/6/2023
31,1702,Jingdang,3/26/2023
32,4772,Nakhchivan,10/19/2022
33,1530,Villeneuve-d'Ascq,12/14/2022
34,8757,Charqueadas,1/11/2023
35,3076,Buenavista,4/12/2023
36,710,Bamban,9/6/2022
37,5985,Rusnė,10/3/2022
38,7804,Kurlovo,1/10/2023
39,1265,Murmino,11/23/2022
40,6046,Lapai,6/17/2022
41,4277,Qujiang,12/13/2022
42,7229,Le Teil,8/21/2022
43,2356,Sibiti,6/13/2022
44,4853,Cimaung Kidul,2/10/2023
45,9732,Nueva Gerona,8/27/2022
46,3278,Shāhzādpur,2/8/2023
47,7541,Bode Sadu,6/21/2022
48,2607,Jenesano,9/17/2022
49,4948,Fenshui,8/10/2022
50,3793,James Craik,7/26/2022
51,9550,Xinhe,11/2/2022
52,2424,Ar Rumaythīyah,9/23/2022
53,7079,Drosiá,7/7/2022
54,5144,Shuqiao,12/25/2022
55,5637,Radlje ob Dravi,7/28/2022
56,3859,Usman’,8/19/2022
57,9714,Independencia,12/31/2022
58,8266,Il’skiy,4/3/2023
59,3252,Jiatou,3/21/2023
60,1307,Viljandi,3/24/2023
61,963,Tunal,10/28/2022
62,1463,Vojnić,5/1/2023
63,8605,Qindu,5/1/2023
64,9411,Põltsamaa,12/3/2022
65,962,Huabeitun,1/5/2023
66,3752,Camias,5/4/2023
67,1376,Ivyanyets,10/27/2022
68,6126,Ocoruro,2/9/2023
69,7061,Kilingi-Nõmme,12/20/2022
70,5177,Shazhou,11/5/2022
71,1997,Nong Phai,7/5/2022
72,3591,Fangyan,7/6/2022
73,9708,Issoudun,5/18/2023
74,3786,Karlstad,3/5/2023
75,5336,Zhukovo,10/10/2022
76,3440,Vrede,5/12/2023
77,2364,San Antonio,2/5/2023
78,9198,Pandean,2/4/2023
79,5370,Nässjö,2/16/2023
80,8915,Monjas,11/4/2022
81,6695,Al Kittah,7/27/2022
82,1042,Lanzhong,1/10/2023
83,4851,Florida,8/14/2022
84,5261,Qā’en,4/5/2023
85,6687,Sagua la Grande,12/25/2022
86,2987,Taishan,11/7/2022
87,3543,Iporá,10/21/2022
88,980,Gœsdorf,3/15/2023
89,536,Sarzedo,4/30/2023
90,7973,Kainan,8/21/2022
91,2516,Vlorë,8/8/2022
92,2804,El Mirador,1/13/2023
93,8475,Dimitrovgrad,10/24/2022
94,7420,Losari,9/12/2022
95,9838,Pindaré Mirim,12/24/2022
96,6811,Oliveirinha,8/23/2022
97,8528,Henghe,1/15/2023
98,6154,Bordeaux,1/6/2023
99,2314,Vällingby,6/23/2022
100,6062,Skhodnitsa,4/28/2023
101,5618,Dededo Village,3/22/2023
102,9905,Shawnee Mission,4/8/2023
103,2989,Kāshmar,2/23/2023
104,5396,Rusip,8/8/2022
105,845,Selkirk,2/12/2023
106,8103,Trollhättan,7/31/2022
107,1186,Vári,9/19/2022
108,8329,Semibratovo,3/19/2023
109,5618,Lescar,10/2/2022
110,2238,Bitin,5/29/2023
111,4038,Chicama,10/25/2022
112,2958,Smimou,1/5/2023
113,2897,Maiorca,2/6/2023
114,524,Biao,8/12/2022
115,3439,Xiashuitou,8/28/2022
116,5022,Asykata,10/3/2022
117,3021,Sonder,6/2/2023
118,7870,Arani,6/2/2023
119,3811,Lào Cai,5/9/2023
120,6901,Picton,1/1/2023
121,1376,Dashtobod,9/19/2022
122,793,Bảo Lộc,2/23/2023
123,6704,Metsavan,10/28/2022
124,5643,Palykavichy Pyershyya,9/13/2022
125,6906,Banyuurip,11/22/2022
126,606,Selebi-Phikwe,8/3/2022
127,3222,Manzil Bū Zalafah,4/6/2023
128,788,Xinhua,11/26/2022
129,7287,Yahe,7/21/2022
130,535,Ấp Tân Ngãi,1/23/2023
131,9484,Arraga,9/21/2022
132,5930,Ipirá,6/19/2022
133,7439,Linxi,8/21/2022
134,9355,Lupao,4/30/2023
135,9923,Zhoupi,11/9/2022
136,731,Caicó,10/4/2022
137,2605,Belovo,5/2/2023
138,7042,Birao,3/13/2023
139,7971,San Kamphaeng,5/7/2023
140,1780,Qingshui,4/9/2023
141,8404,Sendangrejo,12/8/2022
142,9888,Duqiao,6/23/2022
143,7390,Carapelhos,6/5/2023
144,8741,Ureshino,8/22/2022
145,8723,Iporã,9/27/2022
146,6127,Mato Cheirinhos,7/9/2022
147,4761,Jagiełła,10/15/2022
148,7002,Borås,9/17/2022
149,5845,Liujiagou,3/21/2023
150,2889,Abū Mūsā,11/10/2022
151,4533,Hroznětín,5/29/2023
152,7643,Créteil,2/2/2023
153,1712,Rio Claro,7/19/2022
154,7657,Kibonsod,8/11/2022
155,865,Banjarkemuning,7/24/2022
156,8867,Bokat,8/5/2022
157,952,Kuching,4/11/2023
158,638,Vysokovsk,6/11/2022
159,7035,Balungkopi,8/15/2022
160,6472,Anolaima,9/1/2022
161,7503,Krasnohrad,8/16/2022
162,3431,Sebuku,11/14/2022
163,1660,Tamot,1/17/2023
164,7946,Arcueil,2/17/2023
165,1654,Kolç,5/8/2023
166,3732,Ban Dan,6/23/2022
167,3059,Vologda,4/1/2023
168,6680,Kore,4/15/2023
169,8446,Lubień,9/3/2022
170,4831,Balitai,1/16/2023
171,3803,Mataguži,1/1/2023
172,5500,Karanganyar,11/7/2022
173,9624,Västervik,8/15/2022
174,5022,Älvdalen,5/19/2023
175,982,Shchastya,3/30/2023
176,1495,Lyublino,6/1/2023
177,1183,Lampari,1/31/2023
178,8047,Panggung,7/27/2022
179,8400,Magutian,10/6/2022
180,8538,Sim,4/28/2023
181,1683,Taiyanghe,1/20/2023
182,1546,Novoorsk,7/20/2022
183,5803,Castrovirreyna,8/4/2022
184,5020,Gouping,9/18/2022
185,9948,Quận Sáu,1/27/2023
186,7716,Myślenice,1/21/2023
187,1352,Bafatá,10/4/2022
188,6333,Makurazaki,8/11/2022
189,8955,Tuanjie,2/16/2023
190,3522,Heshan,4/2/2023
191,7497,Caratinga,7/25/2022
192,5832,Changfeng,9/8/2022
193,1861,Monasterevin,1/13/2023
194,2827,Ciénaga de Oro,5/29/2023
195,7169,Bielawy,10/10/2022
196,8158,Baimaqiao,8/27/2022
197,7263,Stockholm,11/5/2022
198,854,Tarbes,1/16/2023
199,7132,Cileuya,9/30/2022
200,7596,Gorobinci,10/8/2022
201,5915,Tianzhen,8/27/2022
202,2906,Amadeo,8/5/2022
203,5376,Lanhas,11/13/2022
204,1036,Rafaḩ,1/23/2023
205,9149,Uchaly,7/22/2022
206,3947,Vilarinho das Cambas,12/29/2022
207,6025,Tarata,4/8/2023
208,1418,Pukou,6/12/2022
209,4474,Chian Yai,1/24/2023
210,8706,Balindong,9/27/2022
211,651,Tisno,11/17/2022
212,1212,Kovdor,12/25/2022
213,6567,Butiama,11/20/2022
214,5445,Fangbu,4/4/2023
215,6702,Croix,4/11/2023
216,7260,Laventille,2/21/2023
217,8710,Äänekoski,10/12/2022
218,3813,Nanmu,12/5/2022
219,6312,Baraya,5/14/2023
220,2432,Bello,1/12/2023
221,2557,Masachapa,12/22/2022
222,8321,Saint-Étienne,2/18/2023
223,5249,Ede,2/7/2023
224,6120,Chīchāwatni,12/14/2022
225,6707,Acopampa,4/28/2023
226,3868,Wólka Pełkińska,8/29/2022
227,8089,Pervomays’k,4/27/2023
228,5977,‘Arīshah,3/7/2023
229,9998,Rocky Mountain House,2/16/2023
230,1298,Pantian,2/18/2023
231,5206,Namyang-dong,6/6/2023
232,2350,Bernardo de Irigoyen,3/9/2023
233,7109,Žagarė,8/1/2022
234,2934,Shuangkou,9/7/2022
235,4166,Bajingzi,3/11/2023
236,3946,Estique,10/4/2022
237,900,Svatava,2/27/2023
238,5946,Żabia Wola,5/25/2023
239,8658,Shushary,5/17/2023
240,3093,Taiping,7/27/2022
241,1181,Longxing,8/26/2022
242,8541,Engure,7/18/2022
243,6095,Suwon-si,4/26/2023
244,6024,Nishi-Tokyo-shi,12/4/2022
245,2296,Hudson,5/12/2023
246,4092,Admiralteisky,11/10/2022
247,5839,Tuymazy,3/29/2023
248,9043,Lisičani,3/1/2023
249,5989,Watublapi,11/27/2022
250,6928,Longkou,12/23/2022
251,4546,Palauig,12/16/2022
252,9543,Paris 15,5/17/2023
253,5174,Opol,1/1/2023
254,5620,Varoška Rijeka,2/11/2023
255,4837,San Bernardo,1/23/2023
256,4457,Gahe,1/31/2023
257,9729,Shulan,6/7/2023
258,8528,Khovd,3/6/2023
259,3994,Kalilangan,5/11/2023
260,8694,Magisterial,9/21/2022
261,8433,Ilebo,11/13/2022
262,5160,Sulūq,9/17/2022
263,842,Kulutan,2/8/2023
264,878,Lyon,12/18/2022
265,7343,Yutan,3/1/2023
266,5767,Chonogol,7/10/2022
267,6633,Banjarkemuning,10/5/2022
268,2281,General Alvear,12/15/2022
269,5428,Amarete,12/1/2022
270,5279,Saky,10/7/2022
271,1224,Uglovoye,12/23/2022
272,1776,Luzhou,7/23/2022
273,7917,Chodów,1/12/2023
274,7049,Kańczuga,10/13/2022
275,9753,Néos Oropós,8/20/2022
276,8627,Cipeundeuy,10/11/2022
277,1589,Karanggeneng,6/24/2022
278,1147,Krajan,5/17/2023
279,5638,Boshkengash,7/7/2022
280,8498,Marisol,1/20/2023
281,5490,Guayabal de Síquima,12/21/2022
282,3525,Jiangtian,1/23/2023
283,9312,Doyong,10/26/2022
284,7759,Bonabéri,1/7/2023
285,3808,Sal’sk,9/12/2022
286,8094,Panique,5/29/2023
287,8476,Norcasia,10/27/2022
288,921,Oshnavīyeh,6/1/2023
289,3249,Voznesen’ye,5/17/2023
290,5726,Maguilling,6/29/2022
291,8999,Teutônia,2/3/2023
292,1295,Watulimo,11/9/2022
293,1085,Böhöt,6/20/2022
294,1990,Okocim,10/20/2022
295,2846,Arai,1/7/2023
296,3704,Randuagung,6/12/2022
297,4185,Újezd,10/18/2022
298,5937,Dongchengyuan,6/27/2022
299,5755,Le Kremlin-Bicêtre,1/14/2023
300,1159,Bhiria,5/16/2023
